zip_code,total_students,number_overweight,%overweight,number_obese,%obese,Num_farmersmarkets,#_of_retail_stores,Median,Mean,Pop,total_students_vs_number_overweight,total_students_vs_%overweight,total_students_vs_number_obese,total_students_vs_%obese,total_students_vs_Num_farmersmarkets,total_students_vs_#_of_retail_stores,total_students_vs_Median,total_students_vs_Mean,total_students_vs_Pop,number_overweight_vs_%overweight,number_overweight_vs_number_obese,number_overweight_vs_%obese,number_overweight_vs_Num_farmersmarkets,number_overweight_vs_#_of_retail_stores,number_overweight_vs_Median,number_overweight_vs_Mean,number_overweight_vs_Pop,%overweight_vs_number_obese,%overweight_vs_%obese,%overweight_vs_Num_farmersmarkets,%overweight_vs_#_of_retail_stores,%overweight_vs_Median,%overweight_vs_Mean,%overweight_vs_Pop,number_obese_vs_%obese,number_obese_vs_Num_farmersmarkets,number_obese_vs_#_of_retail_stores,number_obese_vs_Median,number_obese_vs_Mean,number_obese_vs_Pop,%obese_vs_Num_farmersmarkets,%obese_vs_#_of_retail_stores,%obese_vs_Median,%obese_vs_Mean,%obese_vs_Pop,Num_farmersmarkets_vs_#_of_retail_stores,Num_farmersmarkets_vs_Median,Num_farmersmarkets_vs_Mean,Num_farmersmarkets_vs_Pop,#_of_retail_stores_vs_Median,#_of_retail_stores_vs_Mean,#_of_retail_stores_vs_Pop,Median_vs_Mean,Median_vs_Pop,Mean_vs_Pop
10025,,,,,,3,,65001.2415,112009.46,96117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6152964632221683e-05,2.6783452040568715e-05,3.1211960423234184e-05,,,,0.5803192114308916,0.6762720590530291,1.165344944182611
10026,,,,,,1,,31541.8106,50331.7923,25925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.170395043840635e-05,1.9868157963450866e-05,3.8572806171648985e-05,,,,0.626677675454049,1.2166561465766634,1.9414384686595951
10027,,,,,,4,,38550.3989,57766.9366,57049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001037602752276579,6.9243761837286e-05,7.011516415712808e-05,,,,0.6673436600409931,0.6757418867990674,1.0125845606408526
10028,,,,,,1,,105456.4514,192257.802,40914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.482587236004795e-06,5.201349383990149e-06,2.4441511463068877e-05,,,,0.548515848527177,2.577515065747666,4.699071271447426
10029,,,,,,4,,32876.522,56937.3035,76271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001216673710193554,7.025271226622104e-05,5.244457264228868e-05,,,,0.5774162100950214,0.43104878656370044,0.7465131373654469
10030,,,,,,1,,28525.1218,51240.6723,26058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5056817881843365e-05,1.9515747064075897e-05,3.8375930616317444e-05,,,,0.5566890620207573,1.0946780950188042,1.9664084849182593
10031,,,,,,2,,31526.0287,51413.2034,59450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.343964281171895e-05,3.8900513248314736e-05,3.3641715727502105e-05,,,,0.6131893485555502,0.5302948477712364,0.8648141867115222
10032,,,,,,1,,29535.9721,40902.4289,54744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.385702006401882e-05,2.4448425848862e-05,1.826684202835014e-05,,,,0.7221080237609068,0.5395289365044571,0.7471582072921233
10033,,,,,,1,1,36462.7783,53967.0876,59049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.742522776987622e-05,1.8529812233187845e-05,1.6935087808430286e-05,2.742522776987622e-05,1.8529812233187845e-05,1.6935087808430286e-05,0.6756484353993563,0.6175003522498264,0.9139373672712493
10034,,,,,,1,,37865.7046,46838.4098,37785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6409121672596583e-05,2.134999894893955e-05,2.6465528648934763e-05,,,,0.8084327534108555,1.0021358899034007,1.2396032764324467
