zip_code,total_students,number_overweight,%overweight,number_obese,%obese,Num_farmersmarkets,#_of_retail_stores,Median,Mean,Pop
10540,,,,,,,7,,,
10541,2945,510,17.3174872666,410,13.921901528,,72,95198.2853,114064.4214,26329
10543,1090,84,7.7064220183,166,15.2293577982,1,96,94723.7942,146271.5996,20016
10545,,,,,,,4,112917,152224,134
10546,,,,,,,6,176042,214907,1243
10547,,,,,,,37,86362.1663,105364.4632,7332
10548,935,128,13.6898395722,140,14.9732620321,,13,82778.2079,98134.4296,3027
10549,,,,,,1,87,107169.0282,158325.3778,15655
10550,,,,,,,74,42807.4916,55141.1859,37904
10551,,,,,,,1,,,
10552,,,,,,,42,67770.4118,91158.421,19937
10553,4046,780,19.2782995551,664,16.4112703905,,9,56382.1114,66995.4716,10435
10560,780,47,6.0256410256,110,14.1025641026,,13,139313.4022,215200.5299,4659
10562,3181,622,19.553599497,626,19.6793461176,1,77,84559.8181,106627.901,30926
10566,524,121,23.0916030534,86,16.4122137405,1,84,56245.0735,71247.2767,22450
10567,,,,,,1,37,108722.7788,128465.3749,18741
10570,824,62,7.5242718447,90,10.9223300971,2,47,132183.0548,181360.9418,12561
10573,3402,692,20.3409758965,540,15.873015873,,165,73394.0054,105130.3742,36472
10576,,,,,,,10,219553.9941,339448.7625,4764
10577,,,,,,,35,193532.8166,361842.2684,3419
10578,,,,,,,2,134186.325,206558.02,764
10579,891,140,15.7126823793,146,16.3860830527,,22,92599.7348,102068.11,8097
10580,2310,186,8.0519480519,302,13.0735930736,1,95,161991.5583,275650.2741,16560
10583,1737,92,5.296488198,188,10.8232584917,,121,177857.2801,262308.9417,38273
10588,2486,358,14.4006436042,418,16.814159292,,15,88148.2603,107894.2855,1914
10589,1849,156,8.4369929692,332,17.9556517036,,27,96884.3575,123163.7722,7404
10590,2217,206,9.2918358142,301,13.5769057285,,11,149130.5302,192346.2326,6755
10591,,,,,,2,124,86347.1454,115737.3213,21538
10594,1100,130,11.8181818182,196,17.8181818182,,30,110168.664,138952.8494,5038
10595,1079,94,8.7117701576,184,17.0528266914,,37,88431.898,107036.9024,7552
10596,,,,,,,6,85121,100936,778
10597,,,,,,,4,162875,226377,920
10598,1996,234,11.7234468938,321,16.0821643287,,80,107925.4671,130656.2959,29337
10601,,,,,,1,156,57211.5188,79186.5258,9319
10603,,,,,,,40,84012.3518,107929.8146,15421
10604,,,,,,,36,87092.3429,131236.8533,10782
10605,2346,457,19.4799658994,342,14.5780051151,,46,113684.2425,145134.2598,17347
10606,,,,,,1,48,63803.3158,91931.3315,15706
10607,,,,,,,37,99336.9817,119663.5712,6924
10610,,,,,,,2,,,
10695,,,,,,1,,,,
10701,8284,1636,19.7489135683,1190,14.365041043,1,132,44416.5597,56331.2871,61035
10702,,,,,,,1,,,
10703,,,,,,,35,54744.9249,68860.6288,20903
10704,,,,,,,124,63087.1485,74430.3505,30497
10705,,,,,,1,68,36093.9654,48376.0427,27216
10706,1125,76,6.7555555556,156,13.8666666667,2,29,138152.0298,183466.5897,8664
10707,534,94,17.6029962547,78,14.606741573,,35,97930.7182,128238.9237,9712
10708,,,,,,1,57,127636.9339,201445.4252,21427
10709,1593,202,12.6804770873,216,13.5593220339,,26,96536.2003,136311.2937,8888
10710,,,,,,,102,80117.5251,93641.5847,25538
10801,7231,1528,21.1312404923,1242,17.1760475729,2,187,58706.578,80357.7318,36356
10802,,,,,,,3,,,
10803,1693,189,11.1636148848,200,11.8133490845,,45,137572.2318,218224.9077,11892
10804,,,,,,,40,158923.7624,225004.7512,14322
10805,,,,,,,48,29677.0767,41906.0257,11633
10901,,,,,,1,72,86843.4561,113902.6468,22177
10910,,,,,,,4,78571,125222,42
10911,,,,,,,12,,,
10912,,,,,,,1,,,
10913,2619,470,17.9457808324,490,18.7094310806,,24,106055.1068,122840.7854,5149
10914,,,,,,,3,82100,91315,452
10915,,,,,,,1,82773,94400,113
10916,,,,,,,6,105269.229,116636.4474,3887
10917,3406,504,14.7974163241,480,14.0927774516,,35,103897,122911,1720
10918,540,68,12.5925925926,68,12.5925925926,1,39,88168.18,96443.7384,11572
