zip_code,Median,Mean,Pop
10710,80117.5251,93641.5847,25538
10801,58706.578,80357.7318,36356
10803,137572.2318,218224.9077,11892
10804,158923.7624,225004.7512,14322
10805,29677.0767,41906.0257,11633
10901,86843.4561,113902.6468,22177
10910,78571,125222,42
10913,106055.1068,122840.7854,5149
10914,82100,91315,452
10915,82773,94400,113
10916,105269.229,116636.4474,3887
10917,103897,122911,1720
10918,88168.18,96443.7384,11572
10919,76795.8794,91304.8541,783
10920,95165.5624,112377.1978,8649
10921,84742.1729,98913.1689,3804
10922,75547,80086,1480
10923,80267.1143,95185.1436,8256
10924,84648.575,96934.6379,12319
10925,74809,87065,4870
10926,84067.4986,100623.6679,2901
10927,46498.7732,64351.4346,10121
10928,66151.0804,72944.3439,3881
10930,104131.4665,119779.2976,7253
10931,87256.892,109166.2928,1045
10932,76397,84642,49
10933,85941,95410,389
10940,57731.017,69069.8915,42813
10941,67488.4292,80138.9258,12765
10950,65250.8843,79973.9233,38803
10952,66192.7096,90002.3366,31623
10953,66650,101518,248
10954,93219.2738,106607.6378,22066
10956,114523.2715,138475.808,32030
10958,100108.1195,105057.5441,2916
10960,78144.5666,107534.1526,14569
10962,117728.1796,134732.693,5329
10963,76427,86709,4195
10964,79958,108530,1384
10965,103487.4907,125374.394,14569
10968,92045,129291,2408
10969,80186,89346,1195
10970,89426.0718,107337.5855,9366
10973,95946.224,103078.6496,2016
10974,87352.924,100575.808,3048
10975,78571,125222,359
10976,87985.864,119907.236,2001
10977,67394.1495,81480.9424,48755
10979,74809,87065,264
10980,66696.4888,70878.7413,9534
10983,91703.1731,109710.1206,5646
10984,105625,123510,2815
10985,82773,94400,57
10987,78461.902,124115.447,3003
10988,85941,95410,751
10989,85641.6547,103414.4829,9345
10990,91662.2756,106921.1437,19282
10992,89904.3856,89763.6472,8880
10993,54507.8906,72676.1248,4710
10994,106989.2042,134225.3928,7246
10996,92841,126289,7122
10998,86131.674,95486.398,2453
11001,96704.5377,111212.712,26707
11003,78862.7371,91207.8891,40973
11004,75303.738,84521.7605,13390
11005,57104,101012,2195
11010,82519.1491,96236.5417,23829
11020,117295.2436,166436.845,5733
11021,100154.0824,150972.276,17512
11023,93124.8713,141564.9626,8593
11024,121654.721,190653.476,7993
11030,169390.2851,243352.7844,17033
11040,98762.4917,116894.043,39784
11042,144293,222478,514
11050,114601.8098,163838.7882,28714
11096,55025.568,68940.996,7976
11101,39955.099,51519.3212,22556
11102,48399.4866,61244.8968,35943
11103,52494.8702,66421.0536,44730
11104,50944.0617,61197.7955,29376
11105,54570.0826,68394.8123,42375
11106,44030.5142,56437.4173,40963
11109,117750,151032,843
11201,92174.8101,140857.9804,48101
11203,47788.2901,60025.2785,78886
11204,42763.549,58961.3319,74185
11205,42903.7942,57436.724,35648
11206,26439.5376,38579.5696,69454
11207,34729.0604,44634.0699,87324
11208,33875.818,44514.588,84692
11209,56906.5301,78504.7606,69646
11210,55000.8962,69161.936,67349
11211,37632.4577,52060.9141,84434
11212,27911.2921,37845.6579,85400
11213,35084.8797,46614.3775,65932
11214,35963.5161,48902.3504,78896
11215,81331.0535,109383.9243,59307
11216,37290.3205,52038.2363,55021
11217,72610.5963,102949.5131,35641
11218,48010.6089,61311.5804,75418
11219,34969.9857,50736.5471,85825
11220,37030.1129,50270.5076,92398
11221,34005.1582,46669.9113,75020
11222,54366.9033,69808.6353,40003
11223,39420.9802,53995.6663,74659
11224,34958.4279,45362.8356,49491
11225,39782.409,52484.8359,61858
11226,38763.3706,49672.5306,106461
11228,55200.2725,73658.3837,40169
11229,49910.6032,63752.1411,80407
11230,47496.1618,64348.0001,88449
11231,73074.9877,95031.0349,33174
11232,34807.855,45833.5755,22177
11233,35422.5954,45326.9526,63541
11234,67952.9473,77076.9976,81033
11235,44729.671,60543.4611,79197
11236,59567.5509,69801.3086,94098
11237,35354.7791,43843.8726,48837
11238,61468.5107,79249.3305,49085
11239,24882.1176,33974.7284,14621
11354,50019.4132,63008.7787,54286
11355,38623.9557,50392.9258,74434
11356,67807.8323,80098.4197,20443
11357,74096.6311,89656.8591,39650
11358,66312.1712,80188.7795,37044
11360,72853.7515,92444.6694,18363
11361,70983.2093,84895.5484,28648
11362,74826.6041,89962.6059,17509
11363,92955.3212,118589.1132,6849
11364,65776.5025,77366.7885,32272
11365,61097.32,73176.9635,37503
11366,76377.4039,93826.2191,13795
11367,53564.6755,67846.4708,39791
11368,43962.6552,54259.4037,95662
11369,54732.4966,65142.6645,37429
11370,37573.9334,49034.4878,28920
11372,48149.0729,58610.2188,70946
11373,44301.174,56732.7671,99884
11374,49707.9331,65129.5937,39224
11375,69446.0737,89704.2477,70142
11377,49978.8076,60262.6681,87015
11378,59362.7033,68915.0458,33487
11379,61824.3232,76167.0077,33886
11385,47469.8714,57794.7135,95262
11411,69131.5808,79342.336,17909
11412,67395.5987,77263.7438,36433
11413,77058.1467,84085.1138,39571
11414,70964.8067,84305.5087,28120
11415,55983.3512,70069.1331,19423
11416,46712.5556,58913.822,21053
11417,56102.9338,66183.1157,28748
11418,57063.3834,66711.6469,36587
11419,49705.3095,59641.8032,44065
11420,55055.5659,66550.7443,41750
11421,55093.7928,66525.3233,37664
11422,68822.9027,76688.5883,26308
11423,64756.1233,79561.114,31575
11424,61900,74277,467
11425,70284,73553,26
11426,74452.1944,87041.2389,17445
11427,57224.3848,67493.9428,21275
11428,71126.5564,85683.6821,20923
11429,72714.1372,82272.7741,27816
11430,50483.3,54620.468,197
11432,50291.2065,64694.3772,54915
11433,41780.0631,54771.0096,28391
11434,51640.5104,59039.1065,52603
11435,44721.7965,52869.8387,47317
11436,62297.1561,69595.4619,18291
11501,78422.7357,90983.3234,19466
11507,103383.8048,138519.3598,7526
11509,106773,149930,2852
11510,99077.2476,110669.9613,32552
11514,84511,93244,4904
11516,93264.1442,121947.0192,6997
11518,89714.9155,104191.3025,11158
11520,68767.7975,86328.4455,44329
11530,127418.4493,187098.0636,26753
11542,77618.4334,102383.9992,27205
11545,152909.0299,228119.4806,12081
11547,114409.0368,141451.8388,644
11548,213520.235,316061.5786,2445
11550,57385.252,69315.2553,58967
11552,93065.3843,110130.9488,23354
11553,71092.8226,81498.6664,23540
11554,87598.167,98758.5002,37455
11556,73445,83012,13
11557,113487.1765,154468.6971,8053
11558,85182.7741,100774.4161,8553
11559,112232.7605,152353.0813,8100
11560,102206.253,180639.7454,6812
11561,85039.0011,104803.6703,39648
11563,87861.1118,99384.3546,23227
11565,115184.1002,126075.8382,9088
11566,120360.1727,136668.8701,35616
11568,195603.5405,350580.239,3995
11569,112545,160280,1502
11570,112071.3515,144505.8626,27303
11572,97595.5095,111622.8171,31236
11575,67576.2876,79362.6506,15785
11576,156674.4419,235578.7314,12885
11577,131919.3969,163808.7034,11274
11579,99100.8146,127226.8542,5148
11580,85371.6072,97785.7634,37887
11581,93231.165,104291.4815,20192
11590,87976.935,101421.901,42593
11596,108681.7696,133563.4307,10492
11598,131334.806,180669.8672,13170
11691,35645.3949,51204.389,54005
11692,42385.4913,53663.5965,15850
11693,54873.713,65333.225,11120
11694,75157.2154,89574.9242,19299
11697,82290.534,101499.855,4206
11701,65926.6088,81012.3993,25654
11702,95476.7434,116529.4915,15125
11703,82421.4878,90997.3854,16656
11704,79200.4947,87881.7357,40355
11705,92356.3504,101900.85,8237
11706,74856.0142,88722.1437,59946
11709,84099.8856,116288.948,7134
11710,107780.7397,121845.9456,34790
11713,77828.8708,93247.1668,8743
11714,87906.3964,107529.1483,22950
11715,89807.9461,98329.3851,4591
11716,95943.5638,106568.4028,10434
11717,70191.4625,79045.6549,51889
11718,124722,140354,3248
11719,82187.9178,92651.1214,3337
11720,91188.5941,101569.4664,27633
11721,102307.9962,128460.7884,6254
11722,69656.7748,77956.6348,32268
11724,139282.8882,199745.642,3109
11725,107563.6292,124879.2474,29570
11726,70309.6232,80679.6135,18376
11727,79879.6073,93184.1332,26192
11729,79371.2015,87394.7998,27852
11730,91841.8339,126755.8812,14798
11731,100243.6692,115414.2429,30489
11732,118206.06,147944.4959,3539
11733,125382.7043,153051.7043,17976
11735,88756.7866,103542.6285,32358
11738,82334.8983,93651.9049,17439
11739,173438,183585,1256
11740,92303.6733,115900.87,9227
11741,95240.9587,102911.3085,28352
11742,84777.36,97119.3823,11697
11743,119062.3294,162373.6335,41964
11746,105002.2718,128444.2792,63286
11747,108881.2321,146664.3986,16103
11749,91497.1521,91445.3032,3047
11751,90014.9996,99026.6857,15107
11752,87162.472,97839.0932,10013
11753,142621.2829,185686.2407,11670
11754,92734.6465,106377.8402,18983
11755,90611.8227,106684.1597,11333
11756,91413.2547,103558.7113,44007
11757,83838.159,94303.7394,46552
11758,106935.2582,119730.7216,56207
11762,105851.8188,123073.3594,23056
11763,86519.3463,91627.9198,24866
11764,111468.3215,126437.7774,11116
11765,131250,285080,567
11766,112406.4745,130622.0732,9613
11767,107042.522,116834.2205,13725
11768,114683.2802,156116.1657,22039
11769,85270.989,101549.3233,9727
11770,62031,128906,161
11771,121983.7179,182848.2482,10076
11772,66823.3895,75767.4713,42071
11776,82520.5252,97877.9482,22269
11777,101591.294,130958.1365,9054
11778,78939.6079,86453.1315,11738
